zone_id,lat,lon,elevation,timestamp,ndvi,ndbi,bsi,nightlight
zone_0001,24.5,72.5,263,2024-09,0.58317,-0.066974,-0.013162,0.59
zone_0001,24.5,72.5,263,2024-10,0.552144,-0.07188,-0.020967,0.53
zone_0001,24.5,72.5,263,2024-11,0.539556,-0.056751,0.000475,0.57
zone_0001,24.5,72.5,263,2024-12,0.446064,-0.016913,0.044622,0.55
zone_0001,24.5,72.5,263,2025-01,0.335351,0.050919,0.124045,0.5
zone_0001,24.5,72.5,263,2025-02,0.284697,0.073734,0.15894,0.46
zone_0001,24.5,72.5,263,2025-03,0.250783,0.105102,0.171021,0.57
zone_0001,24.5,72.5,263,2025-04,0.197426,0.116934,0.181584,0.75
zone_0001,24.5,72.5,263,2025-05,0.200621,0.136936,0.188989,0.66
zone_0001,24.5,72.5,263,2025-06,0.198675,0.122799,0.18608,0.56
zone_0001,24.5,72.5,263,2025-07,0.198675,0.122799,0.18608,0.56
zone_0001,24.5,72.5,263,2025-08,0.198675,0.122799,0.18608,0.56
zone_0001,24.5,72.5,263,2025-09,0.198675,0.122799,0.18608,0.56
zone_0001,24.5,72.5,263,2025-10,0.48267,-0.018387,0.034475,0.68
zone_0001,24.5,72.5,263,2025-11,0.557277,-0.06862,-0.016068,0.53
zone_0001,24.5,72.5,263,2025-12,0.513386,-0.048585,0.01742,0.51
zone_0002,24.5,72.576923,287,2019-01,0.179562,0.190315,0.25757,0.18
zone_0002,24.5,72.576923,287,2019-02,0.175025,0.197249,0.25478,0.22
zone_0002,24.5,72.576923,287,2019-03,0.15822,0.197827,0.263489,0.34
zone_0002,24.5,72.576923,287,2019-04,0.139299,0.205811,0.26897,0.29
zone_0002,24.5,72.576923,287,2019-05,0.136831,0.201774,0.254535,0.33
zone_0002,24.5,72.576923,287,2019-06,0.130435,0.200394,0.255386,0.36
zone_0002,24.5,72.576923,287,2019-07,0.171668,0.174164,0.225888,0.25
zone_0002,24.5,72.576923,287,2019-08,0.171668,0.174164,0.225888,0.25
zone_0002,24.5,72.576923,287,2019-09,0.658548,-0.067526,-0.02511,0.47
zone_0002,24.5,72.576923,287,2019-10,0.712259,-0.151492,-0.110935,0.41
zone_0002,24.5,72.576923,287,2019-11,0.660322,-0.152157,-0.11905,0.3
zone_0002,24.5,72.576923,287,2019-12,0.486265,-0.02574,0.036705,0.13
zone_0002,24.5,72.576923,287,2020-01,0.410377,0.014505,0.086132,0.19
zone_0002,24.5,72.576923,287,2020-02,0.373249,0.052284,0.123604,0.33
zone_0002,24.5,72.576923,287,2020-03,0.264844,0.116792,0.184146,0.41
zone_0002,24.5,72.576923,287,2020-04,0.193485,0.189923,0.245682,0.42
zone_0002,24.5,72.576923,287,2020-05,0.147525,0.201095,0.258636,0.39
zone_0002,24.5,72.576923,287,2020-06,0.145281,0.199893,0.23537,0.45
zone_0002,24.5,72.576923,287,2020-07,0.161976,0.181638,0.223233,0.35
zone_0002,24.5,72.576923,287,2020-08,0.161976,0.181638,0.223233,0.35
